REIT,Property Name,Ownership Percentage,Property Type,Occupancy Percentage,Rentable Area,Leased Area,Total Area,City,State,Full Address,Latitude,Longitude
Vornado,PENN 1,100.00%,Office / Retail,81.30%,"2,307,000","239,000","2,546,000",New York,New York,PENN 1 New York New York ,40.7510873,-73.9922431
Vornado,1290 Avenue of the Americas,70.00%,Office / Retail,99.20%,"2,120,000",,"2,120,000",New York,New York,1290 Avenue of the Americas New York New York ,40.7608156,-73.9796273
Vornado,PENN 2,100.00%,Office / Retail,100.00%,"414,000","1,206,000","1,620,000",New York,New York,PENN 2 New York New York ,40.7500719,-73.9922026
Vornado,909 Third Avenue,100.00%,Office,93.10%,"1,350,000",,"1,350,000",New York,New York,909 Third Avenue New York New York ,40.7583293,-73.9679887
Vornado,280 Park Avenue,50.00%,Office / Retail,98.60%,"1,264,000",,"1,264,000",New York,New York,280 Park Avenue New York New York ,40.7567429,-73.9755649
Vornado,"Independence Plaza, Tribeca",50.10%,Retail / Residential,55.00%,"1,258,000",,"1,258,000",New York,New York,"Independence Plaza, Tribeca New York New York ",40.7199757,-74.0106393
Vornado,770 Broadway,100.00%,Office / Retail,99.30%,"1,183,000",,"1,183,000",New York,New York,770 Broadway New York New York ,40.7308468,-73.99144
Vornado,PENN 11,100.00%,Office / Retail,99.30%,"1,153,000",,"1,153,000",New York,New York,PENN 11 New York New York ,40.7490725,-73.9914049
Vornado,100 West 33rd Street,100.00%,Office / Retail,75.10%,"1,114,000",,"1,114,000",New York,New York,100 West 33rd Street New York New York ,40.7491267,-73.9893388
Vornado,90 Park Avenue,100.00%,Office / Retail,98.70%,"956,000",,"956,000",New York,New York,90 Park Avenue New York New York ,40.7507673,-73.9793811
Vornado,One Park Avenue,100.00%,Office / Retail,95.00%,"945,000",,"945,000",New York,New York,One Park Avenue New York New York ,40.7459302,-73.9814625
Vornado,888 Seventh Avenue,100.00%,Office / Retail,89.20%,"887,000",,"887,000",New York,New York,888 Seventh Avenue New York New York ,40.7652747,-73.9807922
Vornado,The Farley Building,95.00%,Office / Retail,89.80%,"846,000",,"846,000",New York,New York,The Farley Building New York New York ,40.75235,-73.996777
Vornado,330 West 34th Street,100.00%,Office / Retail,75.70%,"724,000",,"724,000",New York,New York,330 West 34th Street New York New York ,40.7525816,-73.9951022
Vornado,85 Tenth Avenue,49.90%,Office / Retail,89.60%,"638,000",,"638,000",New York,New York,85 Tenth Avenue New York New York ,40.7433097,-74.0079322
Vornado,650 Madison Avenue,20.10%,Office / Retail,86.10%,"601,000",,"601,000",New York,New York,650 Madison Avenue New York New York ,40.7639879,-73.9713457
Vornado,350 Park Avenue,100.00%,Office / Retail,79.00%,"585,000",,"585,000",New York,New York,350 Park Avenue New York New York ,40.7583379,-73.973889
Vornado,150 East 58th Street,100.00%,Office / Retail,88.10%,"544,000",,"544,000",New York,New York,150 East 58th Street New York New York ,40.7611177,-73.9681954
Vornado,7 West 34th Street,53.00%,Office / Retail,100.00%,"477,000",,"477,000",New York,New York,7 West 34th Street New York New York ,40.7490211,-73.9853046
Vornado,595 Madison Avenue,100.00%,Office / Retail,81.50%,"331,000",,"331,000",New York,New York,595 Madison Avenue New York New York ,40.7624743,-73.972037
Vornado,640 Fifth Avenue,52.00%,Office / Retail,92.90%,"315,000",,"315,000",New York,New York,640 Fifth Avenue New York New York ,40.7595199,-73.9772407
Vornado,50-70 West 93rd Street,49.90%,Residential,97.40%,"283,000",,"283,000",New York,New York,50-70 West 93rd Street New York New York ,40.7902726,-73.9679887
Vornado,260 Eleventh Avenue,100.00%,Office,95.50%,"209,000",,"209,000",New York,New York,260 Eleventh Avenue New York New York ,40.7507539,-74.0051401
Vornado,4 Union Square South,100.00%,Retail,100.00%,"204,000",,"204,000",New York,New York,4 Union Square South New York New York ,40.7348379,-73.9915478
Vornado,61 Ninth Avenue,45.10%,Office / Retail,100.00%,"194,000",,"194,000",New York,New York,61 Ninth Avenue New York New York ,40.7416944,-74.0056597
Vornado,512 West 22nd Street,55.00%,Office / Retail,82.60%,"173,000",,"173,000",New York,New York,512 West 22nd Street New York New York ,40.7471759,-74.0055484
Vornado,825 Seventh Avenue,51.20%,Office / Retail,78.90%,"173,000",,"173,000",New York,New York,825 Seventh Avenue New York New York ,40.7631344,-73.9814945
Vornado,1540 Broadway,52.00%,Retail,79.90%,"161,000",,"161,000",New York,New York,1540 Broadway New York New York ,40.7579604,-73.9846596
Vornado,Paramus,100.00%,Office,84.60%,"129,000",,"129,000",New York,New York,Paramus New York New York ,40.9445428,-74.0754189
Vornado,666 Fifth Avenue,52.00%,Retail,100.00%,"114,000",,"114,000",New York,New York,666 Fifth Avenue New York New York ,40.7605248,-73.9769049
Vornado,1535 Broadway,52.00%,Retail / Theatre,100.00%,"107,000",,"107,000",New York,New York,1535 Broadway New York New York ,40.7585862,-73.9858202
Vornado,57th Street,50.00%,Office / Retail,78.30%,"103,000",,"103,000",New York,New York,57th Street New York New York ,40.7672935,-73.9841978
Vornado,689 Fifth Avenue,52.00%,Office / Retail,93.90%,"98,000",,"98,000",New York,New York,689 Fifth Avenue New York New York ,40.7610107,-73.9748828
Vornado,150 West 34th Street,100.00%,Retail,100.00%,"78,000",,"78,000",New York,New York,150 West 34th Street New York New York ,40.75019,-73.9902616
Vornado,510 Fifth Avenue,100.00%,Retail,25.20%,"65,000",,"65,000",New York,New York,510 Fifth Avenue New York New York ,40.7541406,-73.9808474
